,Range,Names,Country,Performances,Null,Nb,City,Date,Year,Sex
0,1 ,John Clausen,USA ,13.907,hsj,1,Melrose,Sep 18,1891,M
1,2 ,J.P. Watson,CAN ,13.577,,1,Jone's Wood,Sep 3,1891,M
2,3 ,M.J. Shanahan,IRL ,13.538,,1,Durrow,Jul 22,1891,M
3,4 ,G. Brown,USA ,13.475,,2,Jone's Wood,Sep 3,1891,M
4,5 ,William H. Henderson,USA ,13.437,,3,Jone's Wood,Sep 3,1891,M
5,6 ,William McPherson,AUS ,13.411,,1,Sydney,Oct 5,1891,M
6,7 ,R. Curtis,IRL ,13.310,,1,Swords,Aug 29,1891,M
7,8 ,W.A. Fletcher,IRL ,13.259,,1,Castlecomer,,1891,M
8,9 ,J.M. McKay,CAN ,13.17,hsj,1,Catharines,Aug 10,1891,M
9,10 ,W. Stammwitz,GER ,13.10,,1,Minneapolis,,1891,M
10,11 ,D.P. McCall,CAN ,13.08,hsj,1,Toronto,Oct 30,1891,M
11,11 ,C. Dreyer,GER ,13.08,,2,Brooklyn,,1891,M
12,13 ,J.J. Burke,IRL ,13.05,,1,Connaught,Aug 01,1891,M
13,14 , Forbes,CAN ,12.94,hsj,2,Toronto,,1891,M
14,15 ,D. Dean,IRL ,12.64,,1,Kilkenny,Aug 22,1891,M
15,16 ,M. Connolly,IRL ,12.52,,1,Howth,Jun 27,1891,M
16,17 ,F.C. Chittick,CAN ,12.44,hsj,2,Catharines,Aug 10,1891,M
17,18 ,B. Armstrong,CAN ,12.24,hsj,1,Toronto,Sep 30,1891,M
18,19 ,N. Quinn,IRL ,12.21,,2,Dublin,Jul 05,1891,M
19,20 ,John Cahill,IRL ,12.14,,2,Castlecomer,Sep 28,1891,M
20,21 ,J. Rohm,GER ,12.12,,1,Indianapolis,Jun 23,1891,M
21,22 ,A. Macdonald,CAN ,12.09,hsj,2,Toronto,Jul 18,1891,M
22,23 , McKent,CAN ,12.04,hsj,2,Toronto,Sep 30,1891,M
23,24 ,W. Patterson,CAN ,11.94,hsj,3,Toronto,Jul 18,1891,M
24,24 ,W. Lange,GER ,11.94,,2,Indianapolis,Jun 23,1891,M
25,1 ,Thomas Kiely,IRL ,15.113,hsj,1,Dublin,Sep 10,1892,M
26,2 ,Daniel Shanahan,IRL ,14.961,,2,Dublin,Sep 10,1892,M
27,3 ,Patrick J. O'Sullivan,IRL ,14.630,,1,Tralee,Jun 8,1892,M
28,4 ,Eugene W. Goff,USA ,14.351,,1,New York,Sep 17,1892,M
29,5 ,Thomas O'Connell,IRL ,14.326,,3,Dublin,Sep 10,1892,M
30,6 ,J.B. McKenna,USA ,14.249,,1,Jone's Wood,Sep 5,1892,M
31,7 ,J. Lehane,IRL ,14.021,,1,Dublin,Oct 1,1892,M
32,8 ,Dennis Horgan,IRL ,13.704,,2,Tralee,Jun 8,1892,M
33,9 ,J.P. Watson,CAN ,13.513,,3,Jone's Wood,Sep 1,1892,M
34,10 ,J.E. O'Grady,USA ,13.437,,2,Jone's Wood,Jul 4,1892,M
35,11 ,R. Curtis,IRL ,13.42,,2,Dublin,Nov 01,1892,M
